DEPTH (FT)	CALI (IN)	GR (GAPI)	NPHISS	RHOB (G/C3)	RILD (OHMM)	SP (MV)	RFOC (OHMM)
10056.5	11.664	94.656	0.404	2.311	0.766	-8.716	0.764
10056.75	11.712	95.027	0.404	2.312	0.764	-8.708	0.763
10057	11.712	95.511	0.405	2.312	0.762	-8.687	0.763
10057.25	11.677	95.919	0.407	2.312	0.76	-8.67	0.763
10057.5	11.621	96.224	0.409	2.313	0.757	-8.662	0.762
10057.75	11.557	96.332	0.41	2.313	0.755	-8.658	0.761
10058	11.492	96.134	0.411	2.313	0.753	-8.636	0.758
10058.25	11.431	95.693	0.411	2.313	0.752	-8.57	0.755
10058.5	11.378	95.118	0.41	2.314	0.751	-8.449	0.753
10058.75	11.337	94.398	0.409	2.314	0.751	-8.287	0.752
10059	11.312	93.54	0.406	2.315	0.752	-8.128	0.753
10059.25	11.302	92.7	0.402	2.316	0.753	-8.025	0.756
10059.5	11.303	92.15	0.399	2.317	0.754	-8.03	0.759
10059.75	11.309	92.108	0.395	2.319	0.756	-8.163	0.763
10060	11.318	92.552	0.391	2.32	0.758	-8.409	0.767
10060.25	11.328	93.237	0.388	2.321	0.761	-8.715	0.771
10060.5	11.337	94.01	0.385	2.322	0.764	-9.025	0.773
10060.75	11.344	94.815	0.381	2.323	0.767	-9.304	0.775
10061	11.348	95.509	0.378	2.323	0.77	-9.562	0.778
10061.25	11.347	95.906	0.375	2.324	0.773	-9.834	0.781
10061.5	11.339	95.849	0.372	2.324	0.776	-10.149	0.786
10061.75	11.325	95.247	0.369	2.323	0.778	-10.5	0.794
10062	11.306	94.166	0.367	2.323	0.779	-10.842	0.803
10062.25	11.284	92.887	0.367	2.323	0.78	-11.111	0.812
10062.5	11.264	91.823	0.367	2.322	0.781	-11.246	0.82
10062.75	11.259	91.395	0.368	2.321	0.782	-11.217	0.823
10063	11.279	91.769	0.371	2.32	0.783	-11.028	0.821
10063.25	11.323	92.794	0.373	2.319	0.784	-10.71	0.814
10063.5	11.376	94.086	0.377	2.318	0.786	-10.301	0.802
10063.75	11.416	95.343	0.38	2.317	0.787	-9.846	0.789
10064	11.427	96.41	0.384	2.317	0.787	-9.393	0.777
10064.25	11.403	97.185	0.388	2.316	0.786	-8.993	0.767
10064.5	11.352	97.573	0.392	2.315	0.785	-8.693	0.761
10064.75	11.292	97.49	0.395	2.315	0.783	-8.503	0.759
10065	11.242	96.9	0.397	2.314	0.781	-8.403	0.76
10065.25	11.208	95.787	0.397	2.315	0.779	-8.359	0.765
10065.5	11.182	94.242	0.396	2.315	0.778	-8.328	0.772
10065.75	11.15	92.56	0.394	2.317	0.777	-8.269	0.778
10066	11.105	91.174	0.392	2.318	0.777	-8.154	0.783
10066.25	11.047	90.567	0.391	2.32	0.778	-7.974	0.784
10066.5	10.981	91.065	0.393	2.322	0.78	-7.738	0.782
10066.75	10.914	92.56	0.397	2.325	0.783	-7.479	0.774
10067	10.858	94.556	0.402	2.328	0.786	-7.26	0.762
10067.25	10.821	96.38	0.407	2.333	0.79	-7.176	0.746
10067.5	10.806	97.457	0.409	2.337	0.794	-7.341	0.731
